Gene	peak.time
Tb11.02.2560	Early G1
Tb11.02.2620	Early G1
Tb11.02.2630	Early G1
Tb11.02.2680	Early G1
Tb11.02.2700	Early G1
Tb11.02.2720	Early G1
Tb11.02.2740	Early G1
Tb11.02.2780	Early G1
Tb11.02.2840	Early G1
Tb11.02.2880	Early G1
Tb11.02.2890	Early G1
Tb11.02.2940	Early G1
Tb11.02.2950	Early G1
Tb11.02.2960	Early G1
Tb11.02.3065	Early G1
Tb11.02.3110	Early G1
Tb11.02.3120	Early G1
Tb11.02.3150	Early G1
Tb11.02.3180	Early G1
Tb11.02.3210	Early G1
Tb11.02.3240	Early G1
Tb11.02.3250	Early G1
Tb11.02.3260	Early G1
Tb11.02.3340	Early G1
Tb11.02.3510	Early G1
Tb11.02.3650	Early G1
Tb11.02.3740	Early G1
Tb11.02.3860	Early G1
Tb11.02.3950	Early G1
Tb11.02.4000	Early G1
Tb11.02.4020	Early G1
Tb11.02.4050	Early G1
Tb11.02.4100	Early G1
Tb11.02.4110	Early G1
Tb11.02.4140	Early G1
Tb11.02.4160	Early G1
Tb11.02.4170	Early G1
Tb11.02.4200	Early G1
Tb11.02.4240	Early G1
Tb11.02.4330	Early G1
Tb11.02.4335	Early G1
Tb11.02.4390	Early G1
Tb11.02.4430	Early G1
Tb11.02.4440	Early G1
Tb11.02.4460	Early G1
Tb11.02.4480	Early G1
Tb11.02.4590	Early G1
Tb11.02.4610	Early G1
Tb11.02.4730	Early G1
Tb11.02.4750	Early G1
Tb11.02.4780	Early G1
Tb11.02.4790	Early G1
Tb11.02.4810	Early G1
Tb11.02.4860	Early G1
Tb11.02.4880	Early G1
Tb11.02.4900	Early G1
Tb11.02.4960	Early G1
Tb11.02.5230	Early G1
Tb11.02.5240	Early G1
Tb11.02.5290	Early G1
Tb11.02.5300	Early G1
Tb11.02.5310	Early G1
Tb11.02.5320	Early G1
Tb11.02.5370	Early G1
Tb11.02.5440	Early G1
Tb11.02.5480	Early G1
Tb11.02.5490	Early G1
Tb11.02.5530	Early G1
Tb11.02.5760	Early G1
Tb11.02.5770	Early G1
Tb11.02.5780	Early G1
Tb11.03.0020	Early G1
Tb11.03.0060	Early G1
Tb11.03.0090	Early G1
Tb11.03.0130	Early G1
Tb11.03.0160	Early G1
Tb11.03.0200	Early G1
Tb11.03.0230	Early G1
Tb11.03.0250	Early G1
Tb11.03.0330	Early G1
Tb11.03.0435	Early G1
Tb11.03.0490	Early G1
Tb11.03.0530	Early G1
Tb11.03.0570	Early G1
Tb11.03.0580	Early G1
Tb11.03.0620	Early G1
Tb11.03.0670	Early G1
Tb11.03.0690	Early G1
Tb11.03.0730	Early G1
Tb11.03.0740	Early G1
Tb11.03.0760	Early G1
Tb11.03.0910	Early G1
Tb11.03.0990	Early G1
Tb11.12.0004	Early G1
Tb11.12.0005	Early G1
Tb11.12.0014	Early G1
Tb11.18.0002	Early G1
Tb11.18.0003	Early G1
Tb11.18.0009	Early G1
Tb11.18.0010	Early G1
Tb11.18.0015	Early G1
Tb11.18.0016	Early G1
Tb11.22.0001	Early G1
Tb11.39.0006	Early G1
Tb11.39.0007	Early G1
Tb11.39.0010	Early G1
Tb11.46.0001	Early G1
Tb11.46.0010	Early G1
Tb11.47.0004	Early G1
Tb11.47.0007	Early G1
Tb11.47.0014	Early G1
Tb11.47.0016	Early G1
Tb11.47.0018	Early G1
Tb11.47.0022	Early G1
Tb11.47.0030	Early G1
Tb11.47.0032	Early G1
Tb11.50.0002	Early G1
Tb11.50.0005	Early G1
Tb11.50.0006	Early G1
Tb11.52.0008	Early G1
Tb11.52.0009	Early G1
Tb11.52.0010	Early G1
Tb11.52.0011	Early G1
Tb11.52.0014	Early G1
Tb11.52.0015	Early G1
Tb11.55.0003	Early G1
Tb11.55.0004	Early G1
